"","isbn","title","author","publisher","price","genre","num_pages","pub_cut","stock"
"0","9780552149518","The Da Vinci Code","Brown, Dan","Transworld Grp","8","hriller & Adventure","608","0.3","22"
"1","9780747532743","Harry Potter and the Philosopher's Stone","Rowling, J. K.","Bloomsbury Grp","7","iction","223","0.25","211"
"2","9780747538486","Harry Potter and the Chamber of Secrets","Rowling, J. K.","Bloomsbury Grp","7","iction","245","0.35","250"
"3","9780552150736","Angels and Demons","Brown, Dan","Transworld Grp","8","hriller & Adventure","624","0.3","342"
"4","9780747551003","Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp","17","iction","768","0.3","397"
"5","9780747581086","Harry Potter and the Half-blood Prince:Children's Edition","Rowling, J. K.","Bloomsbury Grp","17","iction","608","0.35","376"
"6","9780747591054","Harry Potter and the Deathly Hallows","Rowling, J. K.","Bloomsbury Grp","18","iction","608","0.35","331"
"7","9780747546290","Harry Potter and the Prisoner of Azkaban","Rowling, J. K.","Bloomsbury Grp","7","iction","320","0.25","518"
"8","9781904233657","Twilight","Meyer, Stephenie","Little, Brown Book Grp","8","dult Fiction","464","0.3","325"
"9","9780747550990","Harry Potter and the Goblet of Fire","Rowling, J. K.","Bloomsbury Grp","9","iction","640","0.25","597"
"10","9780552151764","Deception Point","Brown, Dan","Transworld Grp","8","hriller & Adventure","592","0.4","432"
"11","9781904233886","New Moon","Meyer, Stephenie","Little, Brown Book Grp","8","dult Fiction","512","0.2","166"
"12","9780330457729","The Lovely Bones","Sebold, Alice","Pan Macmillan Grp","8"," Literary Fiction","336","0.2","59"
"13","9780552151696","Digital Fortress","Brown, Dan","Transworld Grp","8","hriller & Adventure","512","0.4","94"
"14","9780099450252","The Curious Incident of the Dog in the Night-time","Haddon, Mark","Random House Grp","8"," Literary Fiction","288","0.2","250"
"15","9781904233916","Eclipse","Meyer, Stephenie","Little, Brown Book Grp","8","dult Fiction","576","0.4","468"
"16","9781847245458","The Girl with the Dragon Tattoo:Millennium Trilogy","Larsson, Stieg","Quercus Grp","8","hriller & Adventure","542","0.3","200"
