Week Ending 11th December 2010,,,,,,,,,,,,
Paperback Fiction,,,,,,,,,,,,
Position,ISBN,Title,Author,Imprint,Publisher Group,Volume,Value,RRP,ASP,Binding,Publ Date,Product Class
1,9781847245458,"Girl with the Dragon Tattoo,The:Millennium Trilogy#","Larsson, Stieg",Quercus,Quercus Grp,"1,156,530",6177714,8,5,Paperback,24 Jul 2008,"F2.1  Crime, Thriller & Adventure"
2,9781849162746,"Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy#","Larsson, Stieg",Quercus Publishing Plc,Quercus Grp,"995,845",5125475,8,5,Paperback,1 Apr 2010,"F2.1  Crime, Thriller & Adventure"
3,9781906694180,"Girl Who Played with Fire,The:Millennium Trilogy#","Larsson, Stieg",Quercus Publishing Plc,Quercus Grp,"957,063",5041167,8,5,Paperback,9 Jul 2009,"F2.1  Crime, Thriller & Adventure"
4,9780552149525,"Lost Symbol,The","Brown, Dan",Corgi Books,Transworld Grp,"672,950",2854412,8,4,Paperback,22 Jul 2010,"F2.1  Crime, Thriller & Adventure"
5,9780340896983,One Day,"Nicholls, David",Hodder Paperback,Hodder Grp,"419,773",2266771,8,5,Paperback,4 Feb 2010,F1.1  General & Literary Fiction
6,9780141039282,"Help,The","Stockett, Kathryn",Penguin Books,Penguin Grp,"414,304",2133991,8,5,Paperback,13 May 2010,F1.1  General & Literary Fiction
7,9780330457729,"Lovely Bones,The#","Sebold, Alice",Picador,Pan Macmillan Grp,"339,364",1777539,8,5,Paperback,4 Dec 2009,F1.1  General & Literary Fiction
8,9780340897966,Picture Perfect,"Picoult, Jodi",Hodder Paperback,Hodder Grp,"336,369",1682009,8,5,Paperback,24 Jun 2010,F1.1  General & Literary Fiction
9,9780552774369,Twenties Girl,"Kinsella, Sophie",Black Swan,Transworld Grp,"308,596",1420495,8,5,Paperback,21 Jan 2010,F1.1  General & Literary Fiction
10,9780007230204,Wolf Hall,"Mantel, Hilary",Fourth Estate,HarperCollins Grp,"302,522",1859947,9,6,Paperback,4 Mar 2010,F2.3  Historical & Mythological Fiction
11,9781409103462,"Return Journey,The","Binchy, Maeve",Orion (an Imprint of The Orion,Orion Grp,"295,046",1466285,8,5,Paperback,10 Jun 2010,F1.2  Short Stories & Fiction Anthologies
12,9780553825565,61 Hours:Jack Reacher Novel,"Child, Lee",Bantam Books,Transworld Grp,"284,872",1340491,8,5,Paperback,2 Sep 2010,"F2.1  Crime, Thriller & Adventure"
13,9780099514596,"I, Alex Cross","Patterson, James",Arrow Books,Random House Grp,"272,233",1277540,8,5,Paperback,10 Jun 2010,F1.1  General & Literary Fiction
14,9781409120483,Play Dead,"Coben, Harlan",Orion (an Imprint of The Orion,Orion Grp,"271,916",1299631,8,5,Paperback,24 Jun 2010,"F2.1  Crime, Thriller & Adventure"
15,9780749942014,Sister,"Lupton, Rosamund",Piatkus Books,"Little, Brown Book Grp","269,724",1270402,7,5,Paperback,2 Sep 2010,F1.1  General & Literary Fiction
16,9780099458289,"Week in December,A","Faulks, Sebastian",Vintage,Random House Grp,"268,618",1541774,8,6,Paperback,2 Sep 2010,F1.1  General & Literary Fiction
17,9781847394644,"White Queen,The","Gregory, Philippa",Pocket Books,Simon & Schuster Grp,"255,873",1345339,8,5,Paperback,15 Apr 2010,F1.1  General & Literary Fiction
18,9780099524175,Her Fearful Symmetry,"Niffenegger, Audrey",Vintage,Random House Grp,"255,035",1320840,8,5,Paperback,5 Jul 2010,F1.1  General & Literary Fiction
19,9780141030500,Stolen,"Pearse, Lesley",Penguin Books,Penguin Grp,"253,385",1175844,8,5,Paperback,8 Jul 2010,F1.1  General & Literary Fiction
20,9780755328703,Hard Girls,"Cole, Martina",Headline Publishing Group,Headline Grp,"249,110",1208394,8,5,Paperback,15 Apr 2010,"F2.1  Crime, Thriller & Adventure"
