"","isbn","title","author","publisher","price","genre"
"0","9780552149518","The Da Vinci Code","Brown, Dan","Transworld Grp","8","Crime, Thriller & Adventure"
"1","9780747532743","Harry Potter and the Philosopher's Stone","Rowling, J. K.","Bloomsbury Grp","7","Children's Fiction"
"2","9780747538486","Harry Potter and the Chamber of Secrets","Rowling, J. K.","Bloomsbury Grp","7","Children's Fiction"
"3","9780552150736","Angels and Demons","Brown, Dan","Transworld Grp","8","Crime, Thriller & Adventure"
"4","9780747551003","Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp","17","Children's Fiction"
"5","9780747581086","Harry Potter and the Half-blood Prince:Children's Edition","Rowling, J. K.","Bloomsbury Grp","17","Children's Fiction"
"6","9780747591054","Harry Potter and the Deathly Hallows","Rowling, J. K.","Bloomsbury Grp","18","Children's Fiction"
"7","9780747546290","Harry Potter and the Prisoner of Azkaban","Rowling, J. K.","Bloomsbury Grp","7","Children's Fiction"
"8","9781904233657","Twilight","Meyer, Stephenie","Little, Brown Book Grp","8","Young Adult Fiction"
"9","9780747550990","Harry Potter and the Goblet of Fire","Rowling, J. K.","Bloomsbury Grp","9","Children's Fiction"
"10","9780552151764","Deception Point","Brown, Dan","Transworld Grp","8","Crime, Thriller & Adventure"
"11","9781904233886","New Moon","Meyer, Stephenie","Little, Brown Book Grp","8","Young Adult Fiction"
"12","9780330457729","The Lovely Bones","Sebold, Alice","Pan Macmillan Grp","8","General & Literary Fiction"
"13","9780552151696","Digital Fortress","Brown, Dan","Transworld Grp","8","Crime, Thriller & Adventure"
"14","9780099450252","The Curious Incident of the Dog in the Night-time","Haddon, Mark","Random House Grp","8","General & Literary Fiction"
"15","9781904233916","Eclipse","Meyer, Stephenie","Little, Brown Book Grp","8","Young Adult Fiction"
"16","9781847245458","The Girl with the Dragon Tattoo:Millennium Trilogy","Larsson, Stieg","Quercus Grp","8","Crime, Thriller & Adventure"
"17","9780747566533","The Kite Runner","Hosseini, Khaled","Bloomsbury Grp","8","General & Literary Fiction"
"18","9780099464464","The Time Traveler's Wife","Niffenegger, Audrey","Random House Grp","8","General & Literary Fiction"
"19","9780141017891","The World According to Clarkson","Clarkson, Jeremy","Penguin Grp","8","Humour: Collections & General"
"20","9780099429791","Atonement","McEwan, Ian","Random House Grp","8","General & Literary Fiction"
"21","9780593054277","The Lost Symbol","Brown, Dan","Transworld Grp","19","Crime, Thriller & Adventure"
"22","9780552997041","Short History of Nearly Everything,A","Bryson, Bill","Transworld Grp","10","Popular Science"
"23","9781905654284","Breaking Dawn","Meyer, Stephenie","Little, Brown Book Grp","15","Young Adult Fiction"
"24","9780747546245","Harry Potter and the Goblet of Fire","Rowling, J. K.","Bloomsbury Grp","18","Children's Fiction"
"25","9780747591061","Harry Potter and the Deathly Hallows","Rowling, J. K.","Bloomsbury Grp","18","Science Fiction & Fantasy"
"26","9781849163422","The Girl Who Played With Fire:Millennium Trilogy","Larsson, Stieg","Quercus Grp","8","Crime, Thriller & Adventure"
"27","9780752837505","Child Called It,A","Pelzer, Dave","Orion Grp","7","Autobiography: General"
"28","9780349116754","The No.1 Ladies' Detective Agency:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander","Little, Brown Book Grp","8","Crime, Thriller & Adventure"
"29","9780718147655","You are What You Eat:The Plan That Will Change Your Life","McKeith, Gillian","Penguin Grp","15","Fitness & Diet"
"30","9780006512134","Man and Boy","Parsons, Tony","HarperCollins Grp","8","General & Literary Fiction"
"31","9780099387916","Birdsong","Faulks, Sebastian","Random House Grp","8","General & Literary Fiction"
"32","9780752877327","Labyrinth","Mosse, Kate","Orion Grp","8","General & Literary Fiction"
"33","9780755309511","The Island","Hislop, Victoria","Headline Grp","8","General & Literary Fiction"
"34","9781841953922","Life of Pi","Martel, Yann","Canongate Grp","8","General & Literary Fiction"
"35","9780091889487","Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C.","Random House Grp","9","Fitness & Diet"
"36","9780747599876","The Tales of Beedle the Bard","Rowling, J. K.","Bloomsbury Grp","7","Children's Fiction"
"37","9780749397548","Captain Corelli's Mandolin","De Bernieres, Louis","Random House Grp","8","General & Literary Fiction"
"38","9780563384304","Delia's How to Cook:(Bk.1) ","Smith, Delia","Random House Grp","20","Food & Drink: General"
"39","9780330507417","The Gruffalo","Donaldson, Julia","Pan Macmillan Grp","6","Picture Books"
"40","9781861976123","Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne","Profile Books Group","10","Usage & Writing Guides"
"41","9780590660549","Northern Lights:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp","7","Young Adult Fiction"
"42","9780755331420","The Interpretation of Murder","Rubenfeld, Jed","Headline Grp","8","Crime, Thriller & Adventure"
"43","9781849162746","The Girl Who Kicked the Hornets' Nest:Millennium Trilogy","Larsson, Stieg","Quercus Grp","8","Crime, Thriller & Adventure"
"44","9780330367356","Bridget Jones: The Edge of Reason","Fielding, Helen","Pan Macmillan Grp","8","General & Literary Fiction"
"45","9780141020525","Short History of Tractors in Ukrainian,A","Lewycka, Marina","Penguin Grp","8","General & Literary Fiction"
"46","9780722532935","The Alchemist:A Fable About Following Your Dream","Coelho, Paulo","HarperCollins Grp","8","General & Literary Fiction"
"47","9780552996006","Notes from a Small Island","Bryson, Bill","Transworld Grp","9","Travel Writing"
