"author_id","author"
"6682fd43-0e3d-4673-916b-d6840b8f83ab","Brown, Dan"
"22f015e3-88bf-4609-a450-212c76dfe708","Rowling, J. K."
"d60cc524-b52d-4635-85fc-b7c9e713cade","Meyer, Stephenie"
"c838efc2-58c2-4e47-bc76-680536e2a4f8","Sebold, Alice"
"315cf9e5-023a-4eec-8514-41208a215281","Haddon, Mark"
"06de1351-e993-4653-afac-205b323541fb","Larsson, Stieg"
"ce25c791-4db2-4064-879a-f67e35df939b","Hosseini, Khaled"
"dcd2e1b2-efbe-4ece-bddd-661e297db17f","Niffenegger, Audrey"
"c4f7ad8f-8ba4-4008-883f-0c362d83cc81","Clarkson, Jeremy"
"b26c8ca1-e906-4ec4-8255-ee7c92696969","McEwan, Ian"
"70ba4af2-60c3-4774-93f0-ad136eae2569","Bryson, Bill"
"d1d83b20-142a-4114-aad4-51aae2320c36","Pelzer, Dave"
"05994431-3578-4f3d-b73c-0aa02eab6c32","McCall Smith, Alexander"
"ea3b8aae-81b4-4838-bdde-b923262bf265","McKeith, Gillian"
"e266baa8-5566-4e65-aa20-cf30f08f7c84","Parsons, Tony"
"f3c384a0-7748-4176-8090-372ed4ab47e3","Faulks, Sebastian"
"8da25f40-6c3d-47ba-9728-8cf84daecca8","Mosse, Kate"
"a1cf3eb4-3b12-43e1-9874-5aba8d511e0f","Hislop, Victoria"
"e6634c06-b598-4d84-a714-3fd94b83ae55","Martel, Yann"
"0e2cb75d-d96e-4302-afa2-971e4e76e6b8","Atkins, Robert C."
"0b1ac7b9-d3a3-4b40-a0e7-3cf661f1b5f8","De Bernieres, Louis"
"2ffd7189-52d4-47eb-9ee7-db93248748fa","Smith, Delia"
"34b18757-f1f6-4566-8fc1-2f90ccc9323d","Donaldson, Julia"
"02950c57-c36c-45e6-a725-5b1afb153fb9","Truss, Lynne"
"53df661d-6ceb-4f06-863d-8cdcd6ffd94d","Pullman, Philip"
"ce5cc161-ad1c-4a9f-8eae-21548733a392","Rubenfeld, Jed"
"a065aa2a-ebb2-458c-ae3a-58c3c1792adb","Fielding, Helen"
"24c9614c-f98d-4ea2-bbb2-cd4ff0a48a5b","Lewycka, Marina"
"9d88885d-ed0b-4695-9e21-4d41c3571e1e","Coelho, Paulo"
"9f0e5477-bad5-4b45-948e-77c6c8ed6f2d","Boyne, John"
"4cdbca3c-2321-43e9-b040-1aa4d87e9672","Moore, Michael"
"f89d3ef5-73ef-4f42-ac64-8c4b887d6c32","Oliver, Jamie"
"8a5896dd-7919-4d07-be71-0fecf31278d8","Grisham, John"
"df279480-ad63-45b5-a507-5de249a13a75","Carle, Eric"
"0d023007-791c-4e55-b2cb-32316d519d02","Kay, Peter"
"35cbe823-670b-428a-9caf-41ceed0d713c","Levy, Andrea"
"885375d3-ceea-4cf2-98df-7de9d5ddb8e2","Edwards, Kim"
"80c42907-88f4-4fec-86f2-19f07be1a17a","Stephenson, Pamela"
"dc3a4323-f96b-4522-9324-7e4f70b1c9b8","Morton, Kate"
"743777eb-c0d2-4fcd-bbc2-fce5373db24e","Lawson, Nigella"
"558ea0cd-0c9b-4305-92fc-9ecb70db9e28","Golden, Arthur"
"f130c7d2-203c-4a12-8ca7-a9d54e0455b4","Craig Glenday"
"1255284a-5061-4f93-b306-78893c46545a","Mick O'Hare"
"9b3bd43b-ab1d-48e6-be29-05a62f2e7b63","Smith, Zadie"
"4c93c9b2-10fa-45f6-9554-9d0d1c37b855","Weisberger, Lauren"
"270ef6eb-cba4-4edf-a881-970d8ea64b8b","O'Grady, Paul"
"d95182b0-add2-4430-afb8-8f658e81f2c6","Barclay, Linwood"
"f4096b69-4f01-4197-b7dd-891bcf226bb3","Wayne Gould"
"a51ebeb6-853d-4484-a507-bbea31801b07","Harris, Joanne"
"0a28971b-61d3-4bf0-b005-92de28b01aec","McCourt, Frank"
"77b9641f-ecd3-4bd4-8e27-a804e76bacd3","Schott, Ben"
"749edc28-289d-4542-b0f1-a25385f4395c","Obama, Barack"
"d7bf9c55-9707-4762-b191-17031e29cd20","Iggulden, Conn & Iggulden, Hal"
"481ec1c2-2cbb-47ce-9e1f-3c75fc178460","Lee, Harper"
"7c9c0a0c-2cc0-4fc5-8255-7073db39a84f","Salinger, J.D."
"5a47d043-38e7-4e33-a791-34d734420ac4","McKenna, Paul"
"eb42bcbe-a606-4929-9faa-e698d369838f","Ali, Monica"
"930cfe46-338c-4c2e-94e7-9447f9afad54","Keyes, Marian"
"ef7fc14e-b17e-43f0-91ff-91c43393827e","Kinsella, Sophie"
"2e8f5d25-41d3-447f-93bd-4935b11c8772","Zusak, Markus"
"2730182d-d044-45db-b6a6-f1e28527702d","Osbourne, Sharon"
"a03eb5cd-9683-47f1-b80b-1138d3a73826","French, Dawn"
