"isbn","title","author","publisher","price","genre","num_pages","pub_cut","stock","author_id","publisher_id"
9780552149518,"The Da Vinci Code","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",608,0.3,22,"6682fd43-0e3d-4673-916b-d6840b8f83ab","7c9aea3a-28ad-4477-b40f-a7cf0086ffd9"
9780747532743,"Harry Potter and the Philosopher's Stone","Rowling, J. K.","Bloomsbury Grp",7,"Children's Fiction",223,0.25,211,"22f015e3-88bf-4609-a450-212c76dfe708","abeaf76d-2952-4a51-bceb-a0a14f714ddb"
9780747538486,"Harry Potter and the Chamber of Secrets","Rowling, J. K.","Bloomsbury Grp",7,"Children's Fiction",245,0.35,250,"22f015e3-88bf-4609-a450-212c76dfe708","fde380dd-f068-4f37-bcf4-d7eeb8429c1d"
9780552150736,"Angels and Demons","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",624,0.3,342,"6682fd43-0e3d-4673-916b-d6840b8f83ab","20c31491-5ac2-42e1-9dc3-76cfc888a5e3"
9780747551003,"Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp",17,"Children's Fiction",768,0.3,397,"22f015e3-88bf-4609-a450-212c76dfe708","e8c4ae01-2385-4638-b070-495c738dea5d"
9780747581086,"Harry Potter and the Half-blood Prince:Children's Edition","Rowling, J. K.","Bloomsbury Grp",17,"Children's Fiction",608,0.35,376,"22f015e3-88bf-4609-a450-212c76dfe708","689c2d96-8fbb-468a-bbc6-766cdc6b0ed5"
9780747591054,"Harry Potter and the Deathly Hallows","Rowling, J. K.","Bloomsbury Grp",18,"Children's Fiction",608,0.35,331,"22f015e3-88bf-4609-a450-212c76dfe708","1d225964-0cf1-43a2-a3fa-12fba87a77d5"
9780747546290,"Harry Potter and the Prisoner of Azkaban","Rowling, J. K.","Bloomsbury Grp",7,"Children's Fiction",320,0.25,518,"22f015e3-88bf-4609-a450-212c76dfe708","4404450a-5add-42c0-a7e5-1fcb3291e0f3"
9781904233657,"Twilight","Meyer, Stephenie","Little, Brown Book Grp",8,"Young Adult Fiction",464,0.3,325,"d60cc524-b52d-4635-85fc-b7c9e713cade","e120633a-2d12-4cc8-9d3d-9c9ad2638ca6"
9780747550990,"Harry Potter and the Goblet of Fire","Rowling, J. K.","Bloomsbury Grp",9,"Children's Fiction",640,0.25,597,"22f015e3-88bf-4609-a450-212c76dfe708","4e52f8a1-9c7f-4b2f-b96d-b352e8b7199d"
9780552151764,"Deception Point","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",592,0.4,432,"6682fd43-0e3d-4673-916b-d6840b8f83ab","d387b349-b4af-48aa-bb19-9ebf0bebc1c6"
9781904233886,"New Moon","Meyer, Stephenie","Little, Brown Book Grp",8,"Young Adult Fiction",512,0.2,166,"d60cc524-b52d-4635-85fc-b7c9e713cade","dc8c536e-540c-4921-8adc-6d092255a7da"
9780330457729,"The Lovely Bones","Sebold, Alice","Pan Macmillan Grp",8,"General & Literary Fiction",336,0.2,59,"c838efc2-58c2-4e47-bc76-680536e2a4f8","81940d2f-fb47-4d8b-ad9c-83a4c188e47d"
9780552151696,"Digital Fortress","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",512,0.4,94,"6682fd43-0e3d-4673-916b-d6840b8f83ab","99b47503-0bd6-4737-86f7-46a7c7113b2f"
9780099450252,"The Curious Incident of the Dog in the Night-time","Haddon, Mark","Random House Grp",8,"General & Literary Fiction",288,0.2,250,"315cf9e5-023a-4eec-8514-41208a215281","350412bc-7662-46f2-a86c-1ec9c5a89f69"
