"isbn","title","author","publisher","price","genre","num_pages","pub_cut","stock","author_id","publisher_id"
9780552149518,"The Da Vinci Code","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",608,0.3,22,"6682fd43-0e3d-4673-916b-d6840b8f83ab","4ef3e02f-4b56-4790-bd24-2efb96ddb9d6"
9780747532743,"Harry Potter and the Philosopher's Stone","Rowling, J. K.","Bloomsbury Grp",7,"Children's Fiction",223,0.25,211,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9780747538486,"Harry Potter and the Chamber of Secrets","Rowling, J. K.","Bloomsbury Grp",7,"Children's Fiction",245,0.35,250,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9780552150736,"Angels and Demons","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",624,0.3,342,"6682fd43-0e3d-4673-916b-d6840b8f83ab","4ef3e02f-4b56-4790-bd24-2efb96ddb9d6"
9780747551003,"Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp",17,"Children's Fiction",768,0.3,397,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9780747581086,"Harry Potter and the Half-blood Prince:Children's Edition","Rowling, J. K.","Bloomsbury Grp",17,"Children's Fiction",608,0.35,376,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9780747591054,"Harry Potter and the Deathly Hallows","Rowling, J. K.","Bloomsbury Grp",18,"Children's Fiction",608,0.35,331,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9780747546290,"Harry Potter and the Prisoner of Azkaban","Rowling, J. K.","Bloomsbury Grp",7,"Children's Fiction",320,0.25,518,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9781904233657,"Twilight","Meyer, Stephenie","Little, Brown Book Grp",8,"Young Adult Fiction",464,0.3,325,"d60cc524-b52d-4635-85fc-b7c9e713cade","8d7e752b-09a8-4fd6-90e6-4f61703f227e"
9780747550990,"Harry Potter and the Goblet of Fire","Rowling, J. K.","Bloomsbury Grp",9,"Children's Fiction",640,0.25,597,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9780552151764,"Deception Point","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",592,0.4,432,"6682fd43-0e3d-4673-916b-d6840b8f83ab","4ef3e02f-4b56-4790-bd24-2efb96ddb9d6"
9781904233886,"New Moon","Meyer, Stephenie","Little, Brown Book Grp",8,"Young Adult Fiction",512,0.2,166,"d60cc524-b52d-4635-85fc-b7c9e713cade","8d7e752b-09a8-4fd6-90e6-4f61703f227e"
9780330457729,"The Lovely Bones","Sebold, Alice","Pan Macmillan Grp",8,"General & Literary Fiction",336,0.2,59,"c838efc2-58c2-4e47-bc76-680536e2a4f8","bece1d13-d040-4df9-8575-6de53e39461b"
9780552151696,"Digital Fortress","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",512,0.4,94,"6682fd43-0e3d-4673-916b-d6840b8f83ab","4ef3e02f-4b56-4790-bd24-2efb96ddb9d6"
9780099450252,"The Curious Incident of the Dog in the Night-time","Haddon, Mark","Random House Grp",8,"General & Literary Fiction",288,0.2,250,"315cf9e5-023a-4eec-8514-41208a215281","404fb9c8-392d-4ba4-8549-93eb4ba73ca7"
9781904233916,"Eclipse","Meyer, Stephenie","Little, Brown Book Grp",8,"Young Adult Fiction",576,0.4,468,"d60cc524-b52d-4635-85fc-b7c9e713cade","8d7e752b-09a8-4fd6-90e6-4f61703f227e"
9781847245458,"The Girl with the Dragon Tattoo:Millennium Trilogy","Larsson, Stieg","Quercus Grp",8,"Crime, Thriller & Adventure",542,0.3,200,"06de1351-e993-4653-afac-205b323541fb","8dfd8d00-6e94-47b8-ab8e-e3cfe4603390"
9780747566533,"The Kite Runner","Hosseini, Khaled","Bloomsbury Grp",8,"General & Literary Fiction",336,0.4,139,"ce25c791-4db2-4064-879a-f67e35df939b","a1093166-21f3-4095-abc3-bb976d6f63d5"
9780099464464,"The Time Traveler's Wife","Niffenegger, Audrey","Random House Grp",8,"General & Literary Fiction",528,0.25,213,"dcd2e1b2-efbe-4ece-bddd-661e297db17f","404fb9c8-392d-4ba4-8549-93eb4ba73ca7"
9780141017891,"The World According to Clarkson","Clarkson, Jeremy","Penguin Grp",8,"Humour: Collections & General",352,0.3,594,"c4f7ad8f-8ba4-4008-883f-0c362d83cc81","79f88485-392d-4318-bb22-ef7fbb9a0320"
9780099429791,"Atonement","McEwan, Ian","Random House Grp",8,"General & Literary Fiction",384,0.2,467,"b26c8ca1-e906-4ec4-8255-ee7c92696969","404fb9c8-392d-4ba4-8549-93eb4ba73ca7"
9780593054277,"The Lost Symbol","Brown, Dan","Transworld Grp",19,"Crime, Thriller & Adventure",528,0.3,23,"6682fd43-0e3d-4673-916b-d6840b8f83ab","4ef3e02f-4b56-4790-bd24-2efb96ddb9d6"
9780552997041,"Short History of Nearly Everything,A","Bryson, Bill","Transworld Grp",10,"Popular Science",688,0.4,433,"70ba4af2-60c3-4774-93f0-ad136eae2569","4ef3e02f-4b56-4790-bd24-2efb96ddb9d6"
9781905654284,"Breaking Dawn","Meyer, Stephenie","Little, Brown Book Grp",15,"Young Adult Fiction",768,0.4,560,"d60cc524-b52d-4635-85fc-b7c9e713cade","8d7e752b-09a8-4fd6-90e6-4f61703f227e"
9780747546245,"Harry Potter and the Goblet of Fire","Rowling, J. K.","Bloomsbury Grp",18,"Children's Fiction",503,0.35,25,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9780747591061,"Harry Potter and the Deathly Hallows","Rowling, J. K.","Bloomsbury Grp",18,"Science Fiction & Fantasy",608,0.25,484,"22f015e3-88bf-4609-a450-212c76dfe708","a1093166-21f3-4095-abc3-bb976d6f63d5"
9781849163422,"The Girl Who Played With Fire:Millennium Trilogy","Larsson, Stieg","Quercus Grp",8,"Crime, Thriller & Adventure",576,0.2,161,"06de1351-e993-4653-afac-205b323541fb","8dfd8d00-6e94-47b8-ab8e-e3cfe4603390"
9780752837505,"Child Called It,A","Pelzer, Dave","Orion Grp",7,"Autobiography: General",240,0.3,565,"d1d83b20-142a-4114-aad4-51aae2320c36","aeb9b132-8c7d-4112-b45b-483b8e26f05a"
