Index,Position,isbn,title,author,imprint,publisher,volume,value,price,asp,binding,date,genre
1,1,9780552149518,"The Da Vinci Code","Brown, Dan",Corgi Books,Transworld Grp,"4,522,025",22857838,8,5,Paperback,1 Mar 2004,"F2.1  Crime, Thriller & Adventure"
3,2,9780747532743,Harry Potter and the Philosopher's Stone,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,844,316",19853187,7,5,Paperback,26 Jun 1997,Y2.1  Children's Fiction
7,3,9780747538486,Harry Potter and the Chamber of Secrets,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,184,492",16224022,7,5,Paperback,1 Apr 1999,Y2.1  Children's Fiction
6,4,9780552150736,Angels and Demons,"Brown, Dan",Corgi Books,Transworld Grp,"3,096,850",15537325,8,5,Paperback,1 Jul 2003,"F2.1  Crime, Thriller & Adventure"
2,5,9780747551003,Harry Potter and the Order of the Phoenix,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,043,226",33925431,17,11,Hardback,21 Jun 2003,Y2.1  Children's Fiction
4,6,9780747581086,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,947,565",28030020,17,10,Hardback,16 Jul 2005,Y2.1  Children's Fiction
5,7,9780747591054,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,842,059",25028396,18,9,Hardback,21 Jul 2007,Y2.1  Children's Fiction
8,8,9780747546290,Harry Potter and the Prisoner of Azkaban,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,776,314",14140491,7,5,Paperback,1 Apr 2000,Y2.1  Children's Fiction
15,9,9781904233657,Twilight,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","2,105,862",10148763,8,5,Paperback,22 Mar 2007,Y2.2  Young Adult Fiction
9,10,9780747550990,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,057,397",10745712,9,5,Paperback,6 Jul 2001,Y2.1  Children's Fiction
10,11,9780552151764,Deception Point,"Brown, Dan",Corgi Books,Transworld Grp,"2,018,264",10047196,8,5,Paperback,1 May 2004,"F2.1  Crime, Thriller & Adventure"
14,12,9781904233886,New Moon,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,975,659",9425641,8,5,Paperback,6 Sep 2007,Y2.2  Young Adult Fiction
667,13,9780330457729,"The Lovely Bones","Sebold, Alice",Picador,Pan Macmillan Grp,"1,942,042",11561202,8,5,Paperback,4 Dec 2009,F1.1  General & Literary Fiction
11,14,9780552151696,Digital Fortress,"Brown, Dan",Corgi Books,Transworld Grp,"1,911,943",9642124,8,5,Paperback,5 Mar 2004,"F2.1  Crime, Thriller & Adventure"
16,15,9780099450252,"The Curious Incident of the Dog in the Night-time","Haddon, Mark",Vintage,Random House Grp,"1,868,969",10196570,8,5,Paperback,1 Apr 2004,F1.1  General & Literary Fiction
12,16,9781904233916,Eclipse,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,846,171",8981704,8,5,Paperback,3 Jul 2008,Y2.2  Young Adult Fiction
24,17,9781847245458,"The Girl with the Dragon Tattoo:Millennium Trilogy","Larsson, Stieg",Quercus,Quercus Grp,"1,697,425",9205554,8,6,Paperback,24 Jul 2008,"F2.1  Crime, Thriller & Adventure"
26,18,9780747566533,"The Kite Runner","Hosseini, Khaled",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,551,953",9317050,8,6,Paperback,7 Jun 2004,F1.1  General & Literary Fiction
17,19,9780099464464,"The Time Traveler's Wife","Niffenegger, Audrey",Vintage,Random House Grp,"1,496,081",8227128,8,5,Paperback,29 May 2004,F1.1  General & Literary Fiction
18,20,9780141017891,"The World According to Clarkson","Clarkson, Jeremy",Penguin Books,Penguin Grp,"1,447,188",7503191,8,5,Paperback,26 May 2005,T13.0  Humour: Collections & General
60,21,9780099429791,Atonement,"McEwan, Ian",Vintage,Random House Grp,"1,396,366",8671447,8,7,Paperback,2 May 2002,F1.1  General & Literary Fiction
19,22,9780593054277,"The Lost Symbol","Brown, Dan",Bantam Press,Transworld Grp,"1,370,347",13052346,19,10,Hardback,15 Sep 2009,"F2.1  Crime, Thriller & Adventure"
20,23,9780552997041,"Short History of Nearly Everything,A","Bryson, Bill",Black Swan,Transworld Grp,"1,334,635",9911709,10,7,Paperback,1 Jun 2004,T8.0  Popular Science
21,24,9781905654284,Breaking Dawn,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,315,685",12034126,15,9,Hardback,4 Aug 2008,Y2.2  Young Adult Fiction
22,25,9780747546245,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,297,411",14875831,18,11,Hardback,8 Jul 2000,Y2.1  Children's Fiction
23,26,9780747591061,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,283,638",12081283,18,9,Hardback,21 Jul 2007,F2.2  Science Fiction & Fantasy
"1,400",27,9781849163422,"The Girl Who Played With Fire:Millennium Trilogy","Larsson, Stieg",Quercus Publishing Plc,Quercus Grp,"1,265,474",6706615,8,5,Paperback,29 Jul 2010,"F2.1  Crime, Thriller & Adventure"
27,28,9780752837505,"Child Called It,A","Pelzer, Dave",Orion (an Imprint of The Orion,Orion Grp,"1,116,042",5566648,7,5,Paperback,4 Jan 2001,T4.0A  Autobiography: General
28,29,9780349116754,"The No.1 Ladies' Detective Agency:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander",Abacus,"Little, Brown Book Grp","1,106,219",6322496,8,6,Paperback,5 Jun 2003,"F2.1  Crime, Thriller & Adventure"
29,30,9780718147655,You are What You Eat:The Plan That Will Change Your Life,"McKeith, Gillian",Michael Joseph,Penguin Grp,"1,103,619",11766885,15,11,Paperback,17 Jun 2004,T9.4  Fitness & Diet
30,31,9780006512134,Man and Boy,"Parsons, Tony",HarperCollins Publishers,HarperCollins Grp,"1,100,447",6857434,8,6,Paperback,6 Mar 2000,F1.1  General & Literary Fiction
32,32,9780099387916,Birdsong,"Faulks, Sebastian",Vintage,Random House Grp,"1,078,571",7207434,8,7,Paperback,18 Jul 1994,F1.1  General & Literary Fiction
33,33,9780752877327,Labyrinth,"Mosse, Kate",Orion (an Imprint of The Orion,Orion Grp,"1,065,008",5860821,8,6,Paperback,11 Jan 2006,F1.1  General & Literary Fiction
34,34,9780755309511,"The Island","Hislop, Victoria",Headline Review,Headline Grp,"1,056,432",5680550,8,5,Paperback,10 Apr 2006,F1.1  General & Literary Fiction
35,35,9781841953922,Life of Pi,"Martel, Yann",Canongate Books,Canongate Grp,"1,050,090",6967371,8,7,Paperback,17 May 2003,F1.1  General & Literary Fiction
36,36,9780091889487,"Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C.",Vermilion,Random House Grp,"1,046,531",7274727,9,7,Paperback,2 Jan 2003,T9.4  Fitness & Diet
37,37,9780747599876,"The Tales of Beedle the Bard","Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,039,823",4185291,7,4,Hardback,4 Dec 2008,Y2.1  Children's Fiction
38,38,9780749397548,Captain Corelli's Mandolin,"De Bernieres, Louis",Minerva,Random House Grp,"1,025,664",7026298,8,7,Paperback,1 Jun 1995,F1.1  General & Literary Fiction
39,39,9780563384304,Delia's How to Cook:(Bk.1) ,"Smith, Delia",BBC Books (Random House),Random House Grp,"1,014,854",11420572,20,11,Hardback,12 Oct 1998,T16.0  Food & Drink: General
"4,281",40,9780330507417,"The Gruffalo","Donaldson, Julia",Macmillan Children's Books,Pan Macmillan Grp,"1,007,208",4770357,6,4,Paperback,6 Mar 2009,Y1.3  Picture Books
40,41,9781861976123,"Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne",Profile Books,Profile Books Group,"995,455",8858171,10,9,Hardback,6 Nov 2003,T2.1  Usage & Writing Guides
42,42,9780590660549,Northern Lights:His Dark Materials S.,"Pullman, Philip",Point,Scholastic Ltd. Grp,"976,435",5610127,7,6,Paperback,23 Oct 1998,Y2.2  Young Adult Fiction
44,43,9780755331420,"The Interpretation of Murder","Rubenfeld, Jed",Headline Review,Headline Grp,"950,686",5425926,8,6,Paperback,15 Jan 2007,"F2.1  Crime, Thriller & Adventure"
45,44,9781849162746,"The Girl Who Kicked the Hornets' Nest:Millennium Trilogy","Larsson, Stieg",Quercus Publishing Plc,Quercus Grp,"942,103",4841500,8,5,Paperback,1 Apr 2010,"F2.1  Crime, Thriller & Adventure"
47,45,9780330367356,Bridget Jones: The Edge of Reason,"Fielding, Helen",Picador,Pan Macmillan Grp,"923,429",5495835,8,6,Paperback,15 Jun 2000,F1.1  General & Literary Fiction
48,46,9780141020525,"Short History of Tractors in Ukrainian,A","Lewycka, Marina",Penguin Books,Penguin Grp,"904,498",5710251,8,6,Paperback,2 Mar 2006,F1.1  General & Literary Fiction
49,47,9780722532935,"The Alchemist:A Fable About Following Your Dream","Coelho, Paulo",Thorsons,HarperCollins Grp,"903,395",6370730,8,7,Paperback,6 Sep 1999,F1.1  General & Literary Fiction
50,48,9780552996006,Notes from a Small Island,"Bryson, Bill",Black Swan,Transworld Grp,"898,388",6390460,9,7,Paperback,1 Aug 1996,T8.5  Travel Writing
623,49,9780099487821,"The Boy in the Striped Pyjamas","Boyne, John",Definitions,Transworld Grp,"885,450",4557736,7,6,Paperback,1 Feb 2007,Y2.2  Young Adult Fiction
