"isbn","title","author","publisher","price","genre","num_pages","pub_cut","stock"
"9780552149518","The Da Vinci Code","Brown, Dan","Transworld Grp","8","hriller & Adventure","608","0.25","426"
"9780747532743","Harry Potter and the Philosopher's Stone","Rowling, J. K.","Bloomsbury Grp","7","iction","223","0.3","495"
"9780747538486","Harry Potter and the Chamber of Secrets","Rowling, J. K.","Bloomsbury Grp","7","iction","","0.2","520"
"9780552150736","Angels and Demons","Brown, Dan","Transworld Grp","8","hriller & Adventure","624","0.3","24"
"9780747551003","Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp","17","iction","768","0.4","307"
"9780747581086","Harry Potter and the Half-blood Prince:Children's Edition","Rowling, J. K.","Bloomsbury Grp","17","iction","608","0.3","399"
"9780747591054","Harry Potter and the Deathly Hallows","Rowling, J. K.","Bloomsbury Grp","18","iction","608","0.35","524"
"9780747546290","Harry Potter and the Prisoner of Azkaban","Rowling, J. K.","Bloomsbury Grp","7","iction","320","0.25","528"
"9781904233657","Twilight","Meyer, Stephenie","Little, Brown Book Grp","8","dult Fiction","","0.35","307"
"9780747550990","Harry Potter and the Goblet of Fire","Rowling, J. K.","Bloomsbury Grp","9","iction","640","0.3","519"
"9780552151764","Deception Point","Brown, Dan","Transworld Grp","8","hriller & Adventure","","0.4","530"
"9781904233886","New Moon","Meyer, Stephenie","Little, Brown Book Grp","8","dult Fiction","","0.35","563"
"9780330457729","The Lovely Bones","Sebold, Alice","Pan Macmillan Grp","8"," Literary Fiction","","0.2","171"
"9780552151696","Digital Fortress","Brown, Dan","Transworld Grp","8","hriller & Adventure","512","0.2","16"
"9780099450252","The Curious Incident of the Dog in the Night-time","Haddon, Mark","Random House Grp","8"," Literary Fiction","288","0.25","380"
"9781904233916","Eclipse","Meyer, Stephenie","Little, Brown Book Grp","8","dult Fiction","","0.2","92"
"9781847245458","The Girl with the Dragon Tattoo:Millennium Trilogy","Larsson, Stieg","Quercus Grp","8","hriller & Adventure","542","0.25","1"
"9780747566533","The Kite Runner","Hosseini, Khaled","Bloomsbury Grp","8"," Literary Fiction","336","0.3","593"
"9780099464464","The Time Traveler's Wife","Niffenegger, Audrey","Random House Grp","8"," Literary Fiction","528","0.4","325"
"9780141017891","The World According to Clarkson","Clarkson, Jeremy","Penguin Grp","8","ollections & General","352","0.3","400"
"9780099429791","Atonement","McEwan, Ian","Random House Grp","8"," Literary Fiction","","0.2","95"
"9780593054277","The Lost Symbol","Brown, Dan","Transworld Grp","19","hriller & Adventure","528","0.25","36"
"9780552997041","Short History of Nearly Everything,A","Bryson, Bill","Transworld Grp","10","cience","","0.35","158"
"9781905654284","Breaking Dawn","Meyer, Stephenie","Little, Brown Book Grp","15","dult Fiction","768","0.2","185"
"9780747546245","Harry Potter and the Goblet of Fire","Rowling, J. K.","Bloomsbury Grp","18","iction","","0.2","269"
"9780747591061","Harry Potter and the Deathly Hallows","Rowling, J. K.","Bloomsbury Grp","18","iction & Fantasy","608","0.4","139"
"9781849163422","The Girl Who Played With Fire:Millennium Trilogy","Larsson, Stieg","Quercus Grp","8","hriller & Adventure","576","0.35","368"
"9780752837505","Child Called It,A","Pelzer, Dave","Orion Grp","7","eneral","240","0.35","576"
